symbol,HGCN,uniprot,length,start,end,hmm.acc,hmm.name,type
31700,GBP7,Q8N8V2,638,283,579,PF02841,GBP_C,Domain
43660,GBX1,Q14549,363,262,318,PF00046,Homeodomain,Domain
41784,GBX2,P52951,348,248,304,PF00046,Homeodomain,Domain
10480,GC,P02774,474,27,199,PF00273,Serum_albumin,Domain
10479,GC,P02774,474,218,385,PF00273,Serum_albumin,Domain
10478,GC,P02774,474,405,469,PF09164,VitD-bind_III,Domain
47158,GCA,P28676,217,NA,NA,NA,NA,NA
39800,GCAT,O75600,419,66,408,PF00155,Aminotran_1_2,Domain
30184,GCC1,Q96CN9,775,717,760,PF01465,GRIP,Family
40858,GCC2,Q8IWJ2,1684,1547,1612,PF16704,Rab_bind,Domain
40857,GCC2,Q8IWJ2,1684,1613,1656,PF01465,GRIP,Family
39216,GCDH,Q92947,438,61,172,PF02771,Acyl-CoA_dh_N,Domain
39214,GCDH,Q92947,438,176,269,PF02770,Acyl-CoA_dh_M,Domain
39215,GCDH,Q92947,438,287,429,PF00441,Acyl-CoA_dh_1,Domain
32237,GCFC2,P16383,781,467,684,PF07842,GCFC,Family
40624,GCG,P01275,180,53,80,PF00123,Hormone_2,Family
40623,GCG,P01275,180,98,125,PF00123,Hormone_2,Family
40622,GCG,P01275,180,146,173,PF00123,Hormone_2,Family
34295,GCGR,P47871,477,55,124,PF02793,HRM,Family
34294,GCGR,P47871,477,138,396,PF00002,7tm_2,Family
40605,GCH1,P30793,250,71,249,PF01227,GTP_cyclohydroI,Domain
35045,GCHFR,P30047,84,2,84,PF06399,GFRP,Domain
41831,GCK,P35557,465,15,215,PF00349,Hexokinase_1,Domain
41832,GCK,P35557,465,221,455,PF03727,Hexokinase_2,Domain
46044,GCKR,Q14397,625,NA,NA,NA,NA,NA
30190,GCLC,P48506,637,236,608,PF03074,GCS,Family
42989,GCLM,P48507,274,70,241,PF00248,Aldo_ket_red,Domain
32914,GCM1,Q9NP62,436,30,167,PF03615,GCM,Family
44221,GCM2,O75603,506,35,172,PF03615,GCM,Family
47413,GCN1,Q92616,2671,NA,NA,NA,NA,NA
3,GCNA,Q96QF7,691,522,641,PF10263,SprT-like,Domain
43550,GCNT1,Q02742,428,123,392,PF02485,Branch,Family
39004,GCNT2,Q8N0V5,402,97,358,PF02485,Branch,Family
23470,GCNT3,O95395,438,133,402,PF02485,Branch,Family
34815,GCNT4,Q9P109,453,133,402,PF02485,Branch,Family
40233,GCNT7,Q6ZNI0,430,111,374,PF02485,Branch,Family
43662,GCOM2,Q9BZD3,368,27,241,PF15328,GCOM2,Family
46550,GCRG224,Q8WZA8,35,NA,NA,NA,NA,NA
43326,GCSAM,Q8N6F7,178,65,153,PF15666,HGAL,Family
32062,GCSAML,Q5JQS6,135,48,134,PF15666,HGAL,Family
32025,GCSH,P23434,173,51,171,PF01597,GCV_H,Domain
22320,GDA,Q9Y2T3,454,73,447,PF01979,Amidohydro_1,Domain
44052,GDAP1,Q8TB36,358,28,105,PF13417,GST_N_3,Domain
44051,GDAP1,Q8TB36,358,163,282,PF13410,GST_C_2,Domain
40855,GDAP1L1,Q96MZ0,367,49,126,PF13417,GST_N_3,Domain
40854,GDAP1L1,Q96MZ0,367,179,304,PF13410,GST_C_2,Domain
43321,GDAP2,Q9NXN4,497,72,185,PF01661,Macro,Domain
43322,GDAP2,Q9NXN4,497,349,482,PF13716,CRAL_TRIO_2,Domain
41458,GDE1,Q9NZC3,331,70,325,PF03009,GDPD,Family
44214,GDF1,P27539,372,266,371,PF00019,TGF_beta,Domain
23469,GDF10,P55107,478,375,477,PF00019,TGF_beta,Domain
43537,GDF11,O95390,407,60,298,PF00688,TGFb_propeptide,Family
43536,GDF11,O95390,407,312,406,PF00019,TGF_beta,Domain
42611,GDF15,Q99988,308,210,307,PF00019,TGF_beta,Domain
42944,GDF2,Q9UK05,429,56,257,PF00688,TGFb_propeptide,Family
42945,GDF2,Q9UK05,429,326,428,PF00019,TGF_beta,Domain
43656,GDF3,Q9NR23,364,263,363,PF00019,TGF_beta,Domain
40228,GDF5,P43026,501,143,345,PF00688,TGFb_propeptide,Family
40227,GDF5,P43026,501,399,500,PF00019,TGF_beta,Domain
46293,GDF5-AS1,Q5U4N7,250,NA,NA,NA,NA,NA
39963,GDF6,Q6KF10,455,64,281,PF00688,TGFb_propeptide,Family
39962,GDF6,Q6KF10,455,353,454,PF00019,TGF_beta,Domain
42757,GDF7,Q7Z4P5,450,66,278,PF00688,TGFb_propeptide,Family
42756,GDF7,Q7Z4P5,450,348,449,PF00019,TGF_beta,Domain
40604,GDF9,O60383,454,352,453,PF00019,TGF_beta,Domain
43543,GDI1,P31150,447,1,436,PF00996,GDI,Family
41643,GDI2,P50395,445,1,436,PF00996,GDI,Family
26152,GDNF,P39905,211,117,210,PF00019,TGF_beta,Domain
41782,GDPD1,Q8N9F7,314,45,202,PF03009,GDPD,Family
43323,GDPD2,Q9HCC8,539,229,389,PF03009,GDPD,Family
32235,GDPD3,Q7L5L3,318,44,303,PF03009,GDPD,Family
41785,GDPD4,Q6W3E5,623,203,358,PF03009,GDPD,Family
40608,GDPD5,Q8WTR4,605,233,370,PF03009,GDPD,Family
46543,GDPGP1,Q6ZNW5,385,NA,NA,NA,NA,NA
40232,GEM,P55040,296,77,241,PF00071,Ras,Domain
23473,GEMIN2,O14893,280,37,273,PF04938,SIP1,Family
46740,GEMIN4,P57678,1058,NA,NA,NA,NA,NA
44226,GEMIN5,Q8TEQ6,1508,54,95,PF00400,WD40,Repeat
44224,GEMIN5,Q8TEQ6,1508,185,255,PF00400,WD40,Repeat
44227,GEMIN5,Q8TEQ6,1508,391,480,PF12894,ANAPC4_WD40,Repeat
44225,GEMIN5,Q8TEQ6,1508,524,589,PF12894,ANAPC4_WD40,Repeat
44228,GEMIN5,Q8TEQ6,1508,629,668,PF00400,WD40,Repeat
34817,GEMIN6,Q8WXD5,167,1,167,PF06372,Gemin6,Family
42968,GEMIN7,Q9H840,131,2,27,PF12901,SUZ-C,Domain
42969,GEMIN7,Q9H840,131,54,129,PF11095,Gemin7,Family
42429,GEMIN8,Q9NWZ8,242,14,242,PF15348,GEMIN8,Family
32240,GEN1,Q17RS7,908,1,96,PF00752,XPG_N,Family
32238,GEN1,Q17RS7,908,122,208,PF00867,XPG_I,Family
32239,GEN1,Q17RS7,908,398,458,PF18704,Chromo_2,Domain
39709,GET1,O00258,174,12,163,PF04420,CHD5,Family
41461,GET3,O43681,348,37,340,PF02374,ArsA_ATPase,Domain
43320,GET4,Q7L5D6,327,56,306,PF04190,DUF410,Family
42947,GFAP,P14136,432,1,67,PF04732,Filament_head,Family
42946,GFAP,P14136,432,68,376,PF00038,Filament,Coiled-coil
19922,GFER,P55789,205,104,196,PF04777,Evr1_Alr,Family
43111,GFI1,Q99684,422,255,278,PF00096,zf-C2H2,Domain
43114,GFI1,Q99684,422,284,306,PF00096,zf-C2H2,Domain
43110,GFI1,Q99684,422,312,334,PF00096,zf-C2H2,Domain
43112,GFI1,Q99684,422,340,362,PF00096,zf-C2H2,Domain
43115,GFI1,Q99684,422,368,390,PF00096,zf-C2H2,Domain
43113,GFI1,Q99684,422,396,419,PF00096,zf-C2H2,Domain
32612,GFI1B,Q5VTD9,330,163,186,PF00096,zf-C2H2,Domain
32616,GFI1B,Q5VTD9,330,192,214,PF00096,zf-C2H2,Domain
32614,GFI1B,Q5VTD9,330,220,242,PF00096,zf-C2H2,Domain
32615,GFI1B,Q5VTD9,330,276,298,PF00096,zf-C2H2,Domain
32613,GFI1B,Q5VTD9,330,304,327,PF00096,zf-C2H2,Domain
40158,GFM1,Q96RP9,751,44,319,PF00009,GTP_EFTU,Domain
40156,GFM1,Q96RP9,751,366,432,PF03144,GTP_EFTU_D2,Domain
40157,GFM1,Q96RP9,751,446,520,PF14492,EFG_III,Domain
40154,GFM1,Q96RP9,751,521,642,PF03764,EFG_IV,Domain
40155,GFM1,Q96RP9,751,644,731,PF00679,EFG_C,Domain
16650,GFM2,Q969S9,779,68,351,PF00009,GTP_EFTU,Domain
16651,GFM2,Q969S9,779,381,448,PF03144,GTP_EFTU_D2,Domain
16649,GFM2,Q969S9,779,485,559,PF14492,EFG_III,Domain
16648,GFM2,Q969S9,779,560,682,PF03764,EFG_IV,Domain
16647,GFM2,Q969S9,779,684,771,PF00679,EFG_C,Domain
42200,GFOD1,Q9NXC2,390,4,118,PF01408,GFO_IDH_MocA,Family
42199,GFOD1,Q9NXC2,390,132,362,PF02894,GFO_IDH_MocA_C,Domain
41645,GFOD2,Q3B7J2,385,6,119,PF01408,GFO_IDH_MocA,Family
41646,GFOD2,Q3B7J2,385,134,284,PF02894,GFO_IDH_MocA_C,Domain
43549,GFPT1,Q06210,699,70,210,PF13522,GATase_6,Domain
43547,GFPT1,Q06210,699,380,509,PF01380,SIS,Domain
43548,GFPT1,Q06210,699,551,682,PF01380,SIS,Domain
43653,GFPT2,O94808,682,68,212,PF13522,GATase_6,Domain
43655,GFPT2,O94808,682,363,492,PF01380,SIS,Domain
43654,GFPT2,O94808,682,534,665,PF01380,SIS,Domain
22040,GFRA1,P56159,465,29,110,PF02351,GDNF,Domain
22041,GFRA1,P56159,465,154,233,PF02351,GDNF,Domain
22039,GFRA1,P56159,465,243,337,PF02351,GDNF,Domain
44218,GFRA2,O00451,464,40,114,PF02351,GDNF,Domain
44220,GFRA2,O00451,464,161,241,PF02351,GDNF,Domain
44219,GFRA2,O00451,464,251,347,PF02351,GDNF,Domain
43117,GFRA3,O60609,400,44,125,PF02351,GDNF,Domain
43119,GFRA3,O60609,400,162,239,PF02351,GDNF,Domain
43118,GFRA3,O60609,400,248,340,PF02351,GDNF,Domain
25367,GFRA4,Q9GZZ7,299,26,105,PF02351,GDNF,Domain
25366,GFRA4,Q9GZZ7,299,117,241,PF02351,GDNF,Domain
39965,GFRAL,Q6UXV0,394,131,210,PF02351,GDNF,Domain
39964,GFRAL,Q6UXV0,394,220,316,PF02351,GDNF,Domain
46141,GFY,I3L273,518,NA,NA,NA,NA,NA
42616,GGA1,Q9UJY5,639,5,143,PF00790,VHS,Domain
42614,GGA1,Q9UJY5,639,169,207,PF18308,GGA_N-GAT,Domain
42613,GGA1,Q9UJY5,639,222,300,PF03127,GAT,Domain
42615,GGA1,Q9UJY5,639,513,631,PF02883,Alpha_adaptinC2,Domain
42782,GGA2,Q9UJY4,613,20,159,PF00790,VHS,Domain
42781,GGA2,Q9UJY4,613,185,224,PF18308,GGA_N-GAT,Domain
42780,GGA2,Q9UJY4,613,239,316,PF03127,GAT,Domain
42779,GGA2,Q9UJY4,613,487,605,PF02883,Alpha_adaptinC2,Domain
38983,GGA3,Q9NZ52,723,3,142,PF00790,VHS,Domain
38982,GGA3,Q9NZ52,723,169,207,PF18308,GGA_N-GAT,Domain
38984,GGA3,Q9NZ52,723,222,299,PF03127,GAT,Domain
38985,GGA3,Q9NZ52,723,597,715,PF02883,Alpha_adaptinC2,Domain
39961,GGACT,Q9BVM4,153,4,140,PF06094,GGACT,Family
41783,GGCT,O75223,188,78,160,PF13772,AIG2_2,Family
18824,GGCX,P38435,758,66,504,PF05090,VKG_Carbox,Family
39207,GGH,Q92820,318,34,246,PF07722,Peptidase_C26,Domain
40610,GGN,Q86UU5,652,2,652,PF15685,GGN,Family
40609,GGNBP1,Q5YKI7,109,7,108,PF14836,Ubiquitin_3,Domain
47512,GGNBP2,Q9H3C7,697,NA,NA,NA,NA,NA
40449,GGPS1,O95749,300,9,251,PF00348,polyprenyl_synt,Domain
42198,GGT1,P19440,569,55,564,PF01019,G_glu_transpept,Domain
40450,GGT2,P36268,569,55,564,PF01019,G_glu_transpept,Domain
32624,GGT3P,A6NGU5,568,55,563,PF01019,G_glu_transpept,Domain
26158,GGT5,P36269,586,58,581,PF01019,G_glu_transpept,Domain
42436,GGT6,Q6P531,493,116,176,PF01019,G_glu_transpept,Domain
42438,GGT6,Q6P531,493,166,269,PF01019,G_glu_transpept,Domain
42437,GGT6,Q6P531,493,326,401,PF01019,G_glu_transpept,Domain
39970,GGT7,Q9UJ14,662,154,655,PF01019,G_glu_transpept,Domain
46196,GGTA1P,Q4G0N0,100,NA,NA,NA,NA,NA
35048,GGTLC1,Q9BX51,225,1,220,PF01019,G_glu_transpept,Domain
26155,GGTLC2,Q14390,218,1,213,PF01019,G_glu_transpept,Domain
32242,GGTLC3,B5MD39,225,1,220,PF01019,G_glu_transpept,Domain
17223,GH1,P01241,217,9,215,PF00103,Hormone_1,Domain
35722,GH2,P01242,217,9,215,PF00103,Hormone_1,Domain
40606,GHDC,Q8N2G8,530,186,506,PF03321,GH3,Family
39967,GHITM,Q9H3K2,345,121,337,PF01027,Bax1-I,Family
41653,GHR,P10912,638,43,144,PF09067,EpoR_lig-bind,Domain
41652,GHR,P10912,638,159,244,PF00041,fn3,Domain
41654,GHR,P10912,638,316,617,PF12772,GHBP,Family
6676,GHRH,P01286,108,32,59,PF00123,Hormone_2,Family
32619,GHRHR,Q02643,423,52,115,PF02793,HRM,Family
32620,GHRHR,Q02643,423,126,372,PF00002,7tm_2,Family
39401,GHRL,Q9UBU3,117,24,51,PF04644,Motilin_ghrelin,Family
39402,GHRL,Q9UBU3,117,57,115,PF04643,Motilin_assoc,Family
44216,GHSR,Q92847,366,60,323,PF00001,7tm_1,Family
32611,GID4,Q8IVV7,300,121,289,PF09783,Vac_ImportDeg,Family
42196,GID8,Q9NWU2,228,27,53,PF08513,LisH,Domain
42195,GID8,Q9NWU2,228,63,207,PF10607,CLTH,Domain
41656,GIGYF1,O75420,1035,477,521,PF02213,GYF,Domain
32917,GIGYF2,Q6Y7W6,1299,536,580,PF02213,GYF,Domain
42762,GIMAP1,Q8WWP7,306,28,238,PF04548,AIG1,Domain
39206,GIMAP2,Q9UG22,337,23,234,PF04548,AIG1,Domain
44215,GIMAP4,Q9NUV9,329,31,241,PF04548,AIG1,Domain
43542,GIMAP5,Q96F15,307,28,239,PF04548,AIG1,Domain
41644,GIMAP6,Q6P9H5,292,41,252,PF04548,AIG1,Domain
42612,GIMAP7,Q8NHV1,300,9,221,PF04548,AIG1,Domain
40221,GIMAP8,Q8ND71,665,11,220,PF04548,AIG1,Domain
40219,GIMAP8,Q8ND71,665,248,437,PF04548,AIG1,Domain
40220,GIMAP8,Q8ND71,665,439,655,PF04548,AIG1,Domain
30912,GIMD1,P0DJR0,217,9,217,PF04548,AIG1,Domain
34281,GIN1,Q9NXP7,522,65,124,PF17921,Integrase_H2C2,Domain
46769,GINM1,Q9NU53,330,NA,NA,NA,NA,NA
46926,GINS1,Q14691,196,NA,NA,NA,NA,NA
36453,GINS2,Q9Y248,185,42,153,PF05916,Sld5,Family
26033,GINS3,Q9BRX5,216,66,173,PF05916,Sld5,Family
16686,GINS4,Q9BRT9,223,21,127,PF05916,Sld5,Family
16685,GINS4,Q9BRT9,223,165,223,PF16922,SLD5_C,Domain
35186,GIP,P09681,153,52,79,PF00123,Hormone_2,Family
40439,GIPC1,O14908,333,133,212,PF00595,PDZ,Domain
42951,GIPC2,Q8TF65,315,117,195,PF00595,PDZ,Domain
39708,GIPC3,Q8TF64,312,112,191,PF00595,PDZ,Domain
43650,GIPR,P48546,466,58,121,PF02793,HRM,Family
43651,GIPR,P48546,466,134,388,PF00002,7tm_2,Family
43849,GIT1,Q9Y2X7,761,1,120,PF01412,ArfGap,Domain
43851,GIT1,Q9Y2X7,761,137,229,PF12796,Ank_2,Repeat
43848,GIT1,Q9Y2X7,761,264,292,PF08518,GIT_SHD,Family
43847,GIT1,Q9Y2X7,761,328,356,PF08518,GIT_SHD,Family
43850,GIT1,Q9Y2X7,761,409,474,PF16559,GIT_CC,Coiled-coil
43852,GIT1,Q9Y2X7,761,638,754,PF12205,GIT1_C,Domain
43843,GIT2,Q14161,759,1,120,PF01412,ArfGap,Domain
43846,GIT2,Q14161,759,266,294,PF08518,GIT_SHD,Family
43844,GIT2,Q14161,759,330,358,PF08518,GIT_SHD,Family
43845,GIT2,Q14161,759,414,478,PF16559,GIT_CC,Coiled-coil
43842,GIT2,Q14161,759,636,752,PF12205,GIT1_C,Domain
40521,GJA1,P17302,382,3,233,PF00029,Connexin,Family
40520,GJA1,P17302,382,293,312,PF03508,Connexin43,Family
19097,GJA10,Q969M2,543,3,235,PF00029,Connexin,Family
256,GJA3,Q9Y6H8,435,3,227,PF00029,Connexin,Family
19103,GJA4,P35212,333,3,233,PF00029,Connexin,Family
11620,GJA5,P36382,358,3,231,PF00029,Connexin,Family
11619,GJA5,P36382,358,257,358,PF16791,Connexin40_C,Domain
12820,GJA8,P48165,433,3,229,PF00029,Connexin,Family
12821,GJA8,P48165,433,260,326,PF03509,Connexin50,Family
13118,GJA9,P57773,515,3,235,PF00029,Connexin,Family
34964,GJB1,P08034,283,2,214,PF00029,Connexin,Family
40519,GJB2,P29033,226,2,215,PF00029,Connexin,Family
12947,GJB3,O75712,270,2,211,PF00029,Connexin,Family
37702,GJB4,Q9NTQ9,266,2,210,PF00029,Connexin,Family
24984,GJB5,O95377,273,2,210,PF00029,Connexin,Family
439,GJB6,O95452,261,2,215,PF00029,Connexin,Family
43735,GJB7,Q6PEY0,223,2,112,PF00029,Connexin,Family
43734,GJB7,Q6PEY0,223,101,203,PF00029,Connexin,Family
20129,GJC1,P36383,396,2,255,PF00029,Connexin,Family
919,GJC2,Q5T442,439,5,291,PF00029,Connexin,Family
12611,GJC3,Q8NFK1,279,2,215,PF00029,Connexin,Family
42525,GJD2,Q9UKL4,321,3,277,PF00029,Connexin,Family
20367,GJD3,Q8N144,294,3,214,PF00029,Connexin,Family
12948,GJD4,Q96KN9,370,4,221,PF00029,Connexin,Family
44460,GJE1,A6NN92,205,2,109,PF00029,Connexin,Family
44459,GJE1,A6NN92,205,101,196,PF00029,Connexin,Family
26160,GK,P32189,559,12,272,PF00370,FGGY_N,Domain
26161,GK,P32189,559,281,473,PF02782,FGGY_C,Domain
35217,GK2,Q14410,553,12,266,PF00370,FGGY_N,Domain
35218,GK2,Q14410,553,275,467,PF02782,FGGY_C,Domain
39975,GK3P,Q14409,553,12,266,PF00370,FGGY_N,Domain
39976,GK3P,Q14409,553,275,467,PF02782,FGGY_C,Domain
38729,GK5,Q6ZS86,529,20,282,PF00370,FGGY_N,Domain
38728,GK5,Q6ZS86,529,291,480,PF02782,FGGY_C,Domain
47495,GKAP1,Q5VSY0,366,NA,NA,NA,NA,NA
32024,GKN1,Q9NS71,199,70,163,PF04089,BRICHOS,Domain
26904,GKN2,Q86XP6,184,56,150,PF04089,BRICHOS,Domain
43325,GKN3P,P0CG01,181,55,144,PF04089,BRICHOS,Domain
29545,GLA,P06280,429,39,322,PF16499,Melibiase_2,Family
29546,GLA,P06280,429,325,411,PF17450,Melibiase_2_C,Domain
781,GLB1,P16278,677,40,357,PF01301,Glyco_hydro_35,Domain
782,GLB1,P16278,677,528,622,PF13364,BetaGal_dom4_5,Domain
41779,GLB1L,Q6UWU2,654,38,355,PF01301,Glyco_hydro_35,Domain
44053,GLB1L2,Q8IW92,636,53,368,PF01301,Glyco_hydro_35,Domain
40846,GLB1L3,Q8NCI6,653,79,392,PF01301,Glyco_hydro_35,Domain
25363,GLCCI1,Q86VQ1,547,167,477,PF15388,FAM117,Family
44213,GLCE,O94923,617,416,607,PF06662,C5-epim_C,Family
43124,GLDC,P23378,1020,65,488,PF02347,GDC-P,Domain
43123,GLDC,P23378,1020,584,743,PF01212,Beta_elim_lyase,Domain
40231,GLDN,Q6ZMI3,551,136,193,PF01391,Collagen,Repeat
40230,GLDN,Q6ZMI3,551,166,225,PF01391,Collagen,Repeat
40229,GLDN,Q6ZMI3,551,304,544,PF02191,OLF,Family
44050,GLE1,Q53GS7,698,397,649,PF07817,GLE1,Family
32931,GLG1,Q92896,1179,153,212,PF00839,Cys_rich_FGFR,Family
32936,GLG1,Q92896,1179,214,278,PF00839,Cys_rich_FGFR,Family
32935,GLG1,Q92896,1179,289,346,PF00839,Cys_rich_FGFR,Family
32937,GLG1,Q92896,1179,349,413,PF00839,Cys_rich_FGFR,Family
32942,GLG1,Q92896,1179,417,473,PF00839,Cys_rich_FGFR,Family
32941,GLG1,Q92896,1179,478,537,PF00839,Cys_rich_FGFR,Family
32938,GLG1,Q92896,1179,540,604,PF00839,Cys_rich_FGFR,Family
32933,GLG1,Q92896,1179,612,668,PF00839,Cys_rich_FGFR,Family
32934,GLG1,Q92896,1179,669,729,PF00839,Cys_rich_FGFR,Family
32930,GLG1,Q92896,1179,732,788,PF00839,Cys_rich_FGFR,Family
32940,GLG1,Q92896,1179,799,856,PF00839,Cys_rich_FGFR,Family
32944,GLG1,Q92896,1179,857,912,PF00839,Cys_rich_FGFR,Family
32939,GLG1,Q92896,1179,915,979,PF00839,Cys_rich_FGFR,Family
32943,GLG1,Q92896,1179,982,1042,PF00839,Cys_rich_FGFR,Family
32932,GLG1,Q92896,1179,1044,1101,PF00839,Cys_rich_FGFR,Family
43539,GLI1,P08151,1106,268,295,PF00096,zf-C2H2,Domain
43540,GLI1,P08151,1106,301,325,PF00096,zf-C2H2,Domain
43541,GLI1,P08151,1106,362,387,PF00096,zf-C2H2,Domain
38714,GLI2,P10070,1586,470,497,PF00096,zf-C2H2,Domain
38713,GLI2,P10070,1586,503,527,PF00096,zf-C2H2,Domain
38715,GLI2,P10070,1586,533,558,PF00096,zf-C2H2,Domain
38716,GLI2,P10070,1586,564,589,PF00096,zf-C2H2,Domain
30913,GLI3,P10071,1580,513,540,PF00096,zf-C2H2,Domain
30915,GLI3,P10071,1580,546,570,PF00096,zf-C2H2,Domain
30914,GLI3,P10071,1580,576,601,PF00096,zf-C2H2,Domain
30916,GLI3,P10071,1580,607,632,PF00096,zf-C2H2,Domain
41071,GLI4,P10075,376,183,205,PF00096,zf-C2H2,Domain
41075,GLI4,P10075,376,211,233,PF00096,zf-C2H2,Domain
41076,GLI4,P10075,376,239,261,PF00096,zf-C2H2,Domain
41072,GLI4,P10075,376,267,289,PF00096,zf-C2H2,Domain
41073,GLI4,P10075,376,323,345,PF00096,zf-C2H2,Domain
41074,GLI4,P10075,376,351,373,PF00096,zf-C2H2,Domain
30911,GLIPR1,P48060,266,38,175,PF00188,CAP,Domain
34291,GLIPR1L1,Q6UWM5,242,38,171,PF00188,CAP,Domain
32059,GLIPR1L2,Q4G1C9,344,58,192,PF00188,CAP,Domain
40186,GLIPR2,Q9H4G4,154,14,133,PF00188,CAP,Domain
42759,GLIS1,Q8NBF1,620,263,286,PF00096,zf-C2H2,Domain
42760,GLIS1,Q8NBF1,620,292,316,PF00096,zf-C2H2,Domain
42758,GLIS1,Q8NBF1,620,322,346,PF00096,zf-C2H2,Domain
44054,GLIS2,Q9BZE0,524,235,257,PF00096,zf-C2H2,Domain
44056,GLIS2,Q9BZE0,524,263,287,PF00096,zf-C2H2,Domain
44055,GLIS2,Q9BZE0,524,293,317,PF00096,zf-C2H2,Domain
40438,GLIS3,Q8NEA6,775,413,436,PF00096,zf-C2H2,Domain
40437,GLIS3,Q8NEA6,775,472,496,PF00096,zf-C2H2,Domain
43538,GLMN,Q92990,594,1,561,PF08568,Kinetochor_Ybp2,Family
43317,GLMP,Q8WWB7,406,55,399,PF15065,NCU-G1,Family
30658,GLO1,Q04760,184,31,174,PF00903,Glyoxalase,Domain
46264,GLOD4,Q9HC38,313,NA,NA,NA,NA,NA
39223,GLOD5,A6NK44,160,37,154,PF00903,Glyoxalase,Domain
25376,GLP1R,P43220,463,59,129,PF02793,HRM,Family
25375,GLP1R,P43220,463,141,398,PF00002,7tm_2,Family
34301,GLP2R,O95838,553,93,162,PF02793,HRM,Family
34300,GLP2R,O95838,553,175,432,PF00002,7tm_2,Family
26906,GLRA1,P23415,457,38,248,PF02931,Neur_chan_LBD,Family
26907,GLRA1,P23415,457,255,405,PF02932,Neur_chan_memb,Family
32034,GLRA2,P23416,452,44,254,PF02931,Neur_chan_LBD,Family
32033,GLRA2,P23416,452,261,371,PF02932,Neur_chan_memb,Family
30183,GLRA3,O75311,464,43,253,PF02931,Neur_chan_LBD,Family
30182,GLRA3,O75311,464,260,382,PF02932,Neur_chan_memb,Family
26171,GLRB,P48167,497,56,266,PF02931,Neur_chan_LBD,Family
26172,GLRB,P48167,497,273,493,PF02932,Neur_chan_memb,Family
39213,GLRX,P35754,106,15,80,PF00462,Glutaredoxin,Domain
43664,GLRX2,Q9NS18,164,69,131,PF00462,Glutaredoxin,Domain
43129,GLRX3,O76003,335,13,114,PF00085,Thioredoxin,Domain
43128,GLRX3,O76003,335,146,210,PF00462,Glutaredoxin,Domain
43130,GLRX3,O76003,335,248,312,PF00462,Glutaredoxin,Domain
41466,GLRX5,Q86SX6,157,54,119,PF00462,Glutaredoxin,Domain
22070,GLS,O94925,669,139,222,PF17959,EF-hand_14,Domain
22069,GLS,O94925,669,244,530,PF04960,Glutaminase,Domain
22071,GLS,O94925,669,557,649,PF12796,Ank_2,Repeat
34627,GLS2,Q9UI32,602,72,155,PF17959,EF-hand_14,Domain
34626,GLS2,Q9UI32,602,177,463,PF04960,Glutaminase,Domain
34628,GLS2,Q9UI32,602,484,582,PF12796,Ank_2,Repeat
40856,GLT1D1,Q96MS3,346,154,319,PF00534,Glycos_transf_1,Family
38708,GLT6D1,Q7Z4J2,276,11,276,PF03414,Glyco_transf_6,Family
35183,GLT8D1,Q68CQ7,371,67,340,PF01501,Glyco_transf_8,Family
26902,GLT8D2,Q9H1C3,349,52,324,PF01501,Glyco_transf_8,Family
39005,GLTP,Q9NZD2,209,18,167,PF08718,GLTP,Domain
35050,GLTPD2,A6NH11,291,99,253,PF08718,GLTP,Domain
42042,GLUD1,P00367,558,112,242,PF02812,ELFV_dehydrog_N,Domain
42043,GLUD1,P00367,558,263,467,PF00208,ELFV_dehydrog,Domain
19290,GLUD2,P49448,558,112,242,PF02812,ELFV_dehydrog_N,Domain
19289,GLUD2,P49448,558,263,463,PF00208,ELFV_dehydrog,Domain
34611,GLUL,P15104,373,24,104,PF03951,Gln-synt_N,Domain
34610,GLUL,P15104,373,110,361,PF00120,Gln-synt_C,Domain
34830,GLYAT,Q6IB77,296,2,206,PF06021,Gly_acyl_tr_N,Family
34831,GLYAT,Q6IB77,296,207,295,PF08444,Gly_acyl_tr_C,Family
42788,GLYATL1,Q969I3,302,1,207,PF06021,Gly_acyl_tr_N,Family
42789,GLYATL1,Q969I3,302,208,296,PF08444,Gly_acyl_tr_C,Family
38727,GLYATL1B,A0A0U1RQE8,302,1,207,PF06021,Gly_acyl_tr_N,Family
38726,GLYATL1B,A0A0U1RQE8,302,208,296,PF08444,Gly_acyl_tr_C,Family
38139,GLYATL2,Q8WU03,294,1,201,PF06021,Gly_acyl_tr_N,Family
38138,GLYATL2,Q8WU03,294,202,290,PF08444,Gly_acyl_tr_C,Family
41659,GLYATL3,Q5SZD4,288,1,190,PF06021,Gly_acyl_tr_N,Family
41660,GLYATL3,Q5SZD4,288,191,279,PF08444,Gly_acyl_tr_C,Family
46557,GLYCAM1,Q8IVK1,47,NA,NA,NA,NA,NA
30917,GLYCTK,Q8IVS8,523,37,289,PF13660,DUF4147,Domain
30918,GLYCTK,Q8IVS8,523,402,514,PF05161,MOFRL,Family
41099,GLYR1,Q49A26,553,6,91,PF00855,PWWP,Domain
41100,GLYR1,Q49A26,553,269,430,PF03446,NAD_binding_2,Domain
41098,GLYR1,Q49A26,553,430,551,PF14833,NAD_binding_11,Domain
8009,GM2A,P17900,193,33,190,PF02221,E1_DerP2_DerF2,Domain
31704,GMCL1,Q96IK5,515,98,208,PF00651,BTB,Domain
31705,GMCL1,Q96IK5,515,213,301,PF07707,BACK,Domain
34634,GMCL2,Q8NEA9,526,98,208,PF00651,BTB,Domain
